iter	Passed	Remaining
0	114	114633
1	117	58766
2	119	39619
3	120	30045
4	122	24312
5	123	20465
6	124	17691
7	128	15966
8	130	14378
9	131	13047
10	133	11976
11	134	11076
12	135	10278
13	136	9593
14	137	8996
15	137	8474
16	138	8015
17	139	7604
18	142	7339
19	143	7020
20	144	6724
21	145	6450
22	146	6220
23	147	5980
24	147	5760
25	148	5556
26	148	5366
27	149	5191
28	150	5028
29	150	4875
30	151	4733
31	152	4599
32	152	4474
33	153	4355
34	153	4243
35	156	4181
36	157	4089
37	157	3997
38	158	3909
39	159	3827
40	160	3744
41	160	3666
42	161	3592
43	162	3520
44	162	3454
45	163	3389
46	164	3326
47	164	3265
48	165	3207
49	165	3152
50	166	3099
51	167	3048
52	167	2998
53	168	2950
54	170	2931
55	171	2889
56	172	2846
57	172	2804
58	173	2764
59	173	2725
60	174	2686
61	175	2649
62	175	2614
63	176	2581
64	177	2548
65	177	2515
66	178	2484
67	179	2453
68	179	2423
69	180	2394
70	180	2366
71	181	2338
72	182	2311
73	182	2285
74	183	2260
75	185	2256
76	186	2237
77	187	2215
78	188	2192
79	188	2169
80	189	2147
81	189	2125
82	190	2101
83	190	2080
84	191	2060
85	192	2041
86	193	2025
87	193	2007
88	194	1988
89	194	1971
90	195	1953
91	196	1936
92	196	1919
93	197	1902
94	198	1886
95	201	1895
96	201	1879
97	202	1863
98	203	1848
99	203	1833
100	204	1818
101	204	1804
102	205	1790
103	206	1776
104	206	1763
105	207	1753
106	208	1740
107	209	1727
108	209	1714
109	210	1702
110	211	1689
111	211	1677
112	212	1666
113	212	1654
114	213	1642
115	216	1651
116	217	1640
117	218	1630
118	218	1619
119	219	1608
120	219	1598
121	220	1586
122	221	1576
123	222	1569
124	222	1560
125	223	1550
126	223	1539
127	224	1530
128	225	1520
129	225	1511
130	226	1502
131	227	1493
132	227	1484
133	228	1475
134	230	1479
135	231	1471
136	232	1462
137	232	1454
138	233	1445
139	234	1437
140	234	1429
141	235	1420
142	235	1413
143	236	1407
144	237	1399
145	238	1392
146	238	1384
147	239	1377
148	239	1370
149	240	1363
150	241	1356
151	241	1349
152	242	1342
153	243	1336
154	245	1339
155	246	1333
156	247	1327
157	248	1321
158	248	1315
159	249	1309
160	249	1302
161	250	1298
162	251	1291
163	252	1285
164	252	1279
165	253	1273
166	254	1267
167	254	1261
168	255	1255
169	255	1249
170	256	1243
171	257	1239
172	258	1234
173	260	1237
174	261	1232
175	262	1227
176	262	1222
177	263	1218
178	264	1213
179	265	1208
180	266	1203
181	266	1198
182	267	1194
183	268	1189
184	268	1184
185	269	1180
186	270	1175
187	271	1171
188	272	1168
189	273	1164
190	275	1167
191	276	1163
192	277	1158
193	277	1154
194	278	1150
195	279	1145
196	280	1141
197	280	1137
198	281	1132
199	282	1128
200	282	1124
201	283	1120
202	284	1116
203	285	1112
204	286	1109
205	287	1106
206	287	1102
207	290	1104
208	291	1102
209	291	1098
210	292	1094
211	293	1091
212	294	1088
213	295	1084
214	295	1080
215	296	1077
216	297	1073
217	298	1069
218	298	1065
219	299	1062
220	300	1060
221	301	1057
222	302	1053
223	303	1050
224	305	1053
225	306	1050
226	307	1046
227	308	1045
228	309	1043
229	311	1042
230	312	1038
231	312	1035
232	313	1032
233	314	1028
234	315	1026
235	316	1023
236	316	1020
237	317	1016
238	318	1013
239	320	1015
240	321	1012
241	322	1010
242	323	1007
243	324	1004
244	324	1001
245	325	998
246	326	994
247	327	991
248	327	988
249	328	985
250	329	983
251	330	980
252	330	977
253	331	974
254	332	971
255	333	968
256	335	970
257	336	968
258	337	966
259	338	963
260	339	960
261	339	957
262	340	954
263	341	952
264	342	949
265	342	946
266	343	944
267	344	941
268	345	938
269	346	936
270	346	933
271	347	930
272	348	927
273	349	927
274	350	924
275	351	921
276	352	919
